"natc","codeTerme","codeTermePere","libAbr","libelle","Level"
72,100072,100041,"A02AH","Antiacides avec bicarbonate de sodium",4
73,100073,100041,"A02AX","Antiacides : autres associations",4
74,100074,100040,"A02B","Medicaments pour le traitement de l'ulcere peptique",3
75,100075,100074,"A02BA","Antagonistes des recepteurs h2",4
76,100076,100075,"A02BA01","Cimétidine",5
77,100077,100075,"A02BA02","Ranitidine",5
78,100078,100075,"A02BA03","Famotidine",5
79,100079,100075,"A02BA04","Nizatidine",5
80,100080,100075,"A02BA05","Nipérotidine",5
81,100081,100075,"A02BA06","Roxatidine",5
82,100082,100075,"A02BA07","Ranitidine bismuth citrate",5
83,100083,100075,"A02BA51","Cimétidine en association",5
84,100084,100074,"A02BB","Prostaglandines",4
85,100085,100084,"A02BB01","Misoprostol",5
86,100086,100084,"A02BB02","Enprostil",5
87,100087,100074,"A02BC","Inhibiteurs de la pompe a protons",4
88,100088,100087,"A02BC01","Oméprazole",5
89,100089,100087,"A02BC02","Pantoprazole",5
90,100090,100087,"A02BC03","Lansoprazole",5
91,100091,100074,"A02BD","Associations pour l'eradication d'helicobacter pylori",4
92,100092,100091,"A02BD01","Omeprazole, amoxicilline et metronidazole",5
93,100093,100074,"A02BX","Autres medicaments pour le traitement de l'ulcere peptique",4
94,100094,100093,"A02BX01","Carbénoxolone",5
95,100095,100093,"A02BX02","Sucralfate",5
96,100096,100093,"A02BX03","Pirenzépine",5
97,100097,100093,"A02BX04","Méthiosulfonium chlorure",5
98,100098,100093,"A02BX05","Bismuth subcitrate",5
99,100099,100093,"A02BX06","Proglumide",5
100,100100,100093,"A02BX07","Géfarnate",5
101,100101,100093,"A02BX08","Sulglicotide",5
102,100102,100093,"A02BX09","Acétoxolone",5
103,100103,100093,"A02BX10","Zolimidine",5
104,100104,100093,"A02BX11","Troxipide",5
105,100105,100093,"A02BX12","Bismuth sous nitrate",5
106,100106,100093,"A02BX51","Carbénoxolone en association sauf aux psycholeptiques",5
107,100107,100093,"A02BX71","Carbénoxolone en association avec des psycholeptiques",5
108,100108,100093,"A02BX77","Géfarnate en association avec des psycholeptiques",5
109,100109,100040,"A02D","Antiflatulents",3
110,100110,100109,"A02DA","Antiflatulents",4
111,100111,100110,"A02DA01","Silicones",5
112,100112,100040,"A02E","Medicaments antireflux",3
113,100113,100112,"A02EA","Medicaments antireflux",4
114,100114,100113,"A02EA01","Alginique acide",5
115,100115,100040,"A02X","Autres antiacides, medicaments de l'ulcere peptique et des flatulences",3
116,100116,100001,"A03","Antispasmodiques, anticholinergiques et stimulants de la motricite intestinale",2
117,100117,100116,"A03A","Antispasmodiques et anticholinergiques de synthese",3
118,100118,100117,"A03AA","Anticholinergiques de synthese : esters avec groupement",4
119,100119,100118,"A03AA01","Oxyphencyclimine",5
120,100120,100118,"A03AA03","Camylofine",5
121,100121,100118,"A03AA04","Mébévérine",5
122,100122,100118,"A03AA05","Trimébutine",5
123,100123,100118,"A03AA06","Rocivérine",5
124,100124,100118,"A03AA07","Dicyclovérine",5
125,100125,100118,"A03AA08","Dihexyvérine",5
126,100126,100118,"A03AA09","Difémérine",5
127,100127,100118,"A03AA30","Pipéridolate",5
128,100128,100117,"A03AB","Anticholinergiques de synthese : ammoniums quaternaires",4
129,100129,100128,"A03AB01","Benzilone",5
130,100130,100128,"A03AB02","Glycopyrronium",5
131,100131,100128,"A03AB03","Oxyphénonium",5
132,100132,100128,"A03AB04","Penthiénate",5
133,100133,100128,"A03AB05","Propanthéline",5
134,100134,100128,"A03AB06","Otilonium bromure",5
135,100135,100128,"A03AB07","Méthanthéline",5
136,100136,100128,"A03AB08","Tridihéxéthyl",5
137,100137,100128,"A03AB09","Isopropamide",5
138,100138,100128,"A03AB10","Hexocyclium",5
139,100139,100128,"A03AB11","Poldine",5
140,100140,100128,"A03AB12","Mépenzolate",5
141,100141,100128,"A03AB13","Bévonium",5
142,100142,100128,"A03AB14","Pipenzolate",5
143,100143,100128,"A03AB15","Diphémanil",5
144,100144,100128,"A03AB16","(2-benzhydryloxyéthyl) diéthylméthylammonium iodure",5
145,100145,100128,"A03AB17","Tiémonium iodure",5
146,100146,100128,"A03AB18","Prifinium bromure",5
147,100147,100128,"A03AB19","Timépidium bromure",5
148,100148,100128,"A03AB20","Trospium",5
149,100149,100128,"A03AB21","Fenpivérinium",5
150,100150,100128,"A03AB53","Oxyphénonium en association",5
151,100151,100117,"A03AC","Antispasmodiques de synthese : amides avec groupement",4
152,100152,100151,"A03AC02","Diméthylaminopropionylphénothiazine",5
153,100153,100151,"A03AC04","Nicofétamide",5
154,100154,100151,"A03AC05","Tiropramide",5
155,100155,100117,"A03AD","Papaverine et derives",4
156,100156,100155,"A03AD01","Papaverine",5
157,100157,100155,"A03AD02","Drotavérine",5
158,100158,100155,"A03AD30","Moxavérine",5
159,100159,100117,"A03AX","Autres anticholinergiques de synthese",4
160,100160,100159,"A03AX01","Fenpiprane",5
161,100161,100159,"A03AX02","Diisopromine",5
162,100162,100159,"A03AX03","Chlorbenzoxamine",5
163,100163,100159,"A03AX04","Pinavérium",5
164,100164,100159,"A03AX05","Fénovérine",5
165,100165,100159,"A03AX06","Idanpramine",5
166,100166,100159,"A03AX07","Proxazole",5
167,100167,100159,"A03AX08","Alvérine",5
168,100168,100159,"A03AX09","Trépibutone",5
169,100169,100159,"A03AX10","Isométheptène",5
170,100170,100159,"A03AX11","Carovérine",5
171,100171,100159,"A03AX30","Triméthyldiphénylpropylamine",5
172,100172,100159,"A03AX58","Alvérine en association",5
173,100173,100116,"A03B","Belladone et derives",3
174,100174,100173,"A03BA","Alcaloides de la belladone : amines tertiaires",4
175,100175,100174,"A03BA01","Atropine",5
176,100176,100174,"A03BA03","Hyoscyamine",5
177,100177,100174,"A03BA04","Alcaloïdes totaux de la belladone",5
178,100178,100173,"A03BB","Alcaloides hemisynthetiques de la belladone : ammoniums",4
179,100179,100178,"A03BB01","Butylscopolamine",5
180,100180,100178,"A03BB02","Méthylatropine",5
181,100181,100178,"A03BB03","Méthylscopolamine",5
182,100182,100178,"A03BB04","Fentonium",5
183,100183,100178,"A03BB05","Cimétropium bromure",5
184,100184,100116,"A03C","Antispasmodiques en association avec des psycholeptiques",3
185,100185,100184,"A03CA","Anticholinergiques de synthese en association avec des",4
186,100186,100185,"A03CA01","Isopropamide et psycholeptiques",5
187,100187,100185,"A03CA02","Clidinium et psycholeptiques",5
188,100188,100185,"A03CA03","Oxyphencyclimine et psycholeptiques",5
189,100189,100185,"A03CA04","Otilonium bromure et psycholeptiques",5
190,100190,100185,"A03CA05","Glycopyrronium et psycholeptiques",5
191,100191,100185,"A03CA06","Bévonium et psycholeptiques",5
192,100192,100185,"A03CA07","Ambutonium et psycholeptiques",5
193,100193,100185,"A03CA08","Diphémanil et psycholeptiques",5
194,100194,100185,"A03CA30","Emépronium et psycholeptiques",5
195,100195,100185,"A03CA34","Propanthéline et psycholeptiques",5
196,100196,100184,"A03CB","Belladone et derives en association avec des psycholeptiques",4
197,100197,100196,"A03CB01","Méthylscopolamine et psycholeptiques",5
198,100198,100196,"A03CB02","Alcaloïdes totaux de la belladone et psycholeptiques",5
199,100199,100196,"A03CB03","Atropine et psycholeptiques",5
200,100200,100196,"A03CB04","Méthylhomatropine et psycholeptiques",5
201,100201,100196,"A03CB31","Hyoscyamine et psycholeptiques",5
202,100202,100184,"A03CC","Autres antispasmodiques en association avec des",4
203,100203,100116,"A03D","Antispasmodiques en association avec des analgesiques",3
204,100204,100203,"A03DA","Anticholinergiques de synthese en association avec des",4
205,100205,100204,"A03DA01","Tropenzilone et analgésiques",5
206,100206,100204,"A03DA02","Pitofénone et analgésiques",5
207,100207,100204,"A03DA03","Bévonium et analgésiques",5
208,100208,100204,"A03DA04","Ciclonium et analgésiques",5
209,100209,100204,"A03DA05","Camylofine et analgésiques",5
210,100210,100204,"A03DA06","Trospium et analgésiques",5
211,100211,100203,"A03DB","Belladone et derives en association avec des analgesiques",4
212,100212,100211,"A03DB04","Butylscopolamine et analgésiques",5
213,100213,100203,"A03DC","Autres antispasmodiques en association avec des",4
214,100214,100116,"A03E","Antispasmodiques et anticholinergiques en association avec d'autres medicaments",3
215,100215,100214,"A03EA","Antispasmodiques, psycholeptiques et analgesiques en",4
216,100216,100214,"A03ED","Antispasmodiques en association avec d'autres medicaments",4
217,100217,100116,"A03F","Stimulants de la motricite intestinale",3
218,100218,100217,"A03FA","Stimulants de la motricite intestinale",4
219,100219,100218,"A03FA01","Métoclopramide",5
220,100220,100218,"A03FA02","Cisapride",5
221,100221,100218,"A03FA03","Dompéridone",5
222,100222,100218,"A03FA04","Bromopride",5
223,100223,100218,"A03FA05","Alizapride",5
224,100224,100218,"A03FA06","Clébopride",5
225,100225,100001,"A04","Antiemetiques et antinauseeux",2
226,100226,100225,"A04A","Antiemetiques et antinauseeux",3
227,100227,100226,"A04AA","Antagonistes de la serotonine (5ht3)",4
228,100228,100227,"A04AA01","Ondansétron",5
229,100229,100227,"A04AA02","Granisétron",5
230,100230,100227,"A04AA03","Tropisétron",5
231,100231,100227,"A04AA04","Dolasetron",5
232,100232,100226,"A04AD","Autres antiemetiques",4
233,100233,100232,"A04AD01","Scopolamine",5
234,100234,100232,"A04AD02","Cérium oxalate",5
235,100235,100232,"A04AD04","Chlorobutanol",5
236,100236,100232,"A04AD05","Métopimazine",5
237,100237,100232,"A04AD51","Scopolamine en association",5
238,100238,100232,"A04AD54","Chlorobutanol en association",5
239,100239,100001,"A05","Therapeutique hepatique et biliaire",2
240,100240,100239,"A05A","Therapeutique biliaire",3
241,100241,100240,"A05AA","Acides biliaires",4
242,100242,100241,"A05AA01","Chénodésoxycholique acide",5
243,100243,100241,"A05AA02","Ursodésoxycholique acide",5
244,100244,100240,"A05AB","Medicaments du tractus biliaire",4
245,100245,100244,"A05AB01","Nicotinyl méthylamide",5
246,100246,100240,"A05AX","Autres medicaments pour la therapeutique biliaire",4
247,100247,100246,"A05AX01","Piprozoline",5
248,100248,100246,"A05AX02","Hymécromone",5
249,100249,100246,"A05AX03","Cyclobutyrol",5
250,100250,100239,"A05B","Therapeutique hepatique, lipotropiques",3
251,100251,100250,"A05BA","Therapeutique hepatique",4
252,100252,100251,"A05BA01","Arginine glutamate",5
253,100253,100251,"A05BA03","Silymarine",5
254,100254,100251,"A05BA04","Citiolone",5
255,100255,100251,"A05BA05","Epomédiol",5
256,100256,100251,"A05BA06","Ornithine oxoglutarate",5
257,100257,100251,"A05BA07","Tidiacic arginine",5
258,100258,100239,"A05C","Medicaments pour la therapeutique biliaire et lipotropiques en association",3
259,100259,100001,"A06","Laxatifs",2
260,100260,100259,"A06A","Laxatifs",3
261,100261,100260,"A06AA","Laxatifs lubrifiants",4
262,100262,100261,"A06AA01","Huile de paraffine",5
263,100263,100261,"A06AA02","Docusate sodique",5
264,100264,100261,"A06AA51","Huile de paraffine en association",5
265,100265,100260,"A06AB","Laxatifs stimulants",4
266,100266,100265,"A06AB01","Oxyphénisatine diacétate",5
267,100267,100265,"A06AB02","Bisacodyl",5
268,100268,100265,"A06AB03","Dantron",5
269,100269,100265,"A06AB04","Phénolphtaléine",5
270,100270,100265,"A06AB05","Huile de castor",5
271,100271,100265,"A06AB06","Glycosides de séné",5
272,100272,100265,"A06AB07","Cascara",5
273,100273,100265,"A06AB08","Sodium picosulfate",5
274,100274,100265,"A06AB20","Laxatifs stimulants en association",5
275,100275,100265,"A06AB30","Laxatifs stimulants en association avec des alcaloïdes de",5
276,100276,100265,"A06AB53","Dantron en association",5
277,100277,100265,"A06AB56","Glycosides de séné en association",5
278,100278,100265,"A06AB57","Cascara en association",5
279,100279,100265,"A06AB58","Sodium picosulfate en association",5
280,100280,100260,"A06AC","Laxatifs de lest",4
281,100281,100280,"A06AC01","Ispaghul (graines de psyllium)",5
282,100282,100280,"A06AC02","Ethulose",5
283,100283,100280,"A06AC03","Sterculia",5
284,100284,100280,"A06AC05","Lin graine",5
285,100285,100280,"A06AC06","Méthylcellulose",5
286,100286,100280,"A06AC07","Triticum (fibres de blé)",5
287,100287,100280,"A06AC08","Polycarbophil calcium",5
288,100288,100280,"A06AC51","Ispaghul en association",5
289,100289,100280,"A06AC53","Sterculia en association",5
290,100290,100280,"A06AC55","Lin graine en association",5
291,100291,100260,"A06AD","Laxatifs osmotiques",4
292,100292,100291,"A06AD01","Magnésium carbonate",5
293,100293,100291,"A06AD02","Magnésium oxyde",5
294,100294,100291,"A06AD03","Magnesium peroxyde",5
295,100295,100291,"A06AD04","Magnésium sulfate",5
296,100296,100291,"A06AD10","Sels minéraux en association",5
297,100297,100291,"A06AD11","Lactulose",5
298,100298,100291,"A06AD12","Lactitol",5
299,100299,100291,"A06AD13","Sodium sulfate",5
300,100300,100291,"A06AD14","Pentaérithrityl tétranitrate",5
301,100301,100291,"A06AD61","Lactulose en association",5
302,100302,100291,"A06AD65","Macrogol en association ou  non",5
303,100303,100260,"A06AG","Lavements",4
304,100304,100303,"A06AG01","Sodium phosphate",5
305,100305,100303,"A06AG02","Bisacodyl",5
306,100306,100303,"A06AG03","Dantron, associations incluses",5
307,100307,100303,"A06AG04","Glycérol",5
308,100308,100303,"A06AG06","Huile",5
309,100309,100303,"A06AG07","Sorbitol",5
310,100310,100303,"A06AG10","Docusate sodique, associations incluses",5
311,100311,100303,"A06AG11","Laurylsulfate, associations incluses",5
312,100312,100303,"A06AG20","Associations",5
313,100313,100260,"A06AX","Autres laxatifs",4
314,100314,100313,"A06AX01","Glycérol",5
315,100315,100313,"A06AX02","Médicaments produisant de l'anhydride carbonique",5
316,100316,100001,"A07","Antidiarrheiques, antiinflammatoires et anti-infectieux intestinaux",2
317,100317,100316,"A07A","Antiinfectieux intestinaux",3
318,100318,100317,"A07AA","Antibiotiques",4
319,100319,100318,"A07AA01","Neomycine",5
320,100320,100318,"A07AA02","Nystatine",5
321,100321,100318,"A07AA03","Natamycine",5
322,100322,100318,"A07AA04","Streptomycine",5
323,100323,100318,"A07AA05","Polymyxine",5
324,100324,100318,"A07AA06","Paromomycine",5
325,100325,100318,"A07AA07","Amphotéricine b",5
326,100326,100318,"A07AA08","Kanamycine",5
327,100327,100318,"A07AA09","Vancomycine",5
328,100328,100318,"A07AA10","Colistine",5
329,100329,100318,"A07AA11","Rifaximine",5
330,100330,100318,"A07AA51","Néomycine en association",5
331,100331,100318,"A07AA54","Streptomycine en association",5
332,100332,100317,"A07AB","Sulfamides",4
333,100333,100332,"A07AB02","Phthalylsulfathiazole",5
334,100334,100332,"A07AB03","Sulfaguanidine",5
335,100335,100332,"A07AB04","Succinylsulfathiazole",5
336,100336,100317,"A07AC","Derives imidazoles",4
337,100337,100336,"A07AC01","Miconazole",5
338,100338,100317,"A07AX","Autres antiinfectieux intestinaux",4
339,100339,100338,"A07AX01","Broxyquinoline",5
340,100340,100338,"A07AX02","Acétarsol",5
341,100341,100338,"A07AX03","Nifuroxazide",5
342,100342,100338,"A07AX04","Nifurzide",5
343,100343,100316,"A07B","Adsorbants intestinaux",3
344,100344,100343,"A07BA","Preparations a base de charbon",4
345,100345,100344,"A07BA01","Charbon médicinal",5
346,100346,100344,"A07BA51","Charbon medicinal en association",5
347,100347,100343,"A07BB","Preparations a base de bismuth",4
348,100348,100343,"A07BC","Autres adsorbants intestinaux",4
349,100349,100348,"A07BC01","Pectine",5
350,100350,100348,"A07BC02","Kaolin",5
351,100351,100348,"A07BC03","Crospovidone",5
352,100352,100348,"A07BC04","Attapulgite",5
353,100353,100348,"A07BC30","Associations",5
354,100354,100348,"A07BC54","Attapulgite en association",5
355,100355,100316,"A07C","Electrolytes et hydrates de carbone",3
356,100356,100355,"A07CA","Preparations salines pour rehydratation orale",4
357,100357,100316,"A07D","Ralentisseurs de la motricite intestinale",3
358,100358,100357,"A07DA","Ralentisseurs de la motricite intestinale",4
359,100359,100358,"A07DA01","Diphénoxylate",5
360,100360,100358,"A07DA02","Opium",5
361,100361,100358,"A07DA03","Lopéramide",5
362,100362,100358,"A07DA04","Difénoxine",5
363,100363,100358,"A07DA05","Loperamide oxyde",5
364,100364,100358,"A07DA52","Morphine en association",5
365,100365,100316,"A07E","Antiinflammatoires intestinaux",3
366,100366,100365,"A07EA","Corticoides a usage local",4
367,100367,100366,"A07EA01","Prednisolone",5
368,100368,100366,"A07EA02","Hydrocortisone",5
369,100369,100366,"A07EA03","Prednisone",5
370,100370,100366,"A07EA04","Betamethasone",5
371,100371,100366,"A07EA05","Tixocortol",5
372,100372,100366,"A07EA06","Budésonide",5
373,100373,100366,"A07EA07","Béclométasone",5
374,100374,100365,"A07EB","Antiallergiques, corticoides exclus",4
375,100375,100374,"A07EB01","Cromoglicique acide",5
376,100376,100365,"A07EC","Acide aminosalicylique et analogues",4
377,100377,100376,"A07EC01","Sulfasalazine",5
378,100378,100376,"A07EC02","Mésalazine",5
379,100379,100376,"A07EC03","Olsalazine",5
380,100380,100376,"A07EC04","Balsalazide",5
381,100381,100316,"A07F","Microorganismes antidiarrheiques",3
382,100382,100381,"A07FA","Microorganismes antidiarrheiques",4
383,100383,100382,"A07FA01","Microorganismes produisant de l'acide lactique",5
384,100384,100382,"A07FA02","Saccharomyces boulardii",5
385,100385,100382,"A07FA51","Microorganismes produisant de l'acide lactique en",5
386,100386,100316,"A07X","Autres antidiarrheiques",3
387,100387,100386,"A07XA","Autres antidiarrheiques",4
388,100388,100387,"A07XA01","Tanin albuminate",5
389,100389,100387,"A07XA02","Cératonia",5
390,100390,100387,"A07XA03","Derives calciques",5
391,100391,100387,"A07XA04","Acétorphan",5
392,100392,100387,"A07XA51","Tanin albuminate en association",5
393,100393,100001,"A08","Preparations contre l'obesite, produits de regime exclus",2
394,100394,100393,"A08A","Preparations contre l'obesite, produits de regime exclus",3
395,100395,100394,"A08AA","Medicaments contre l'obesite a action centrale",4
396,100396,100395,"A08AA01","Phentermine",5
397,100397,100395,"A08AA02","Fenfluramine",5
398,100398,100395,"A08AA03","Amfépramone",5
399,100399,100395,"A08AA04","Dexfenfluramine",5
400,100400,100395,"A08AA05","Mazindol",5
401,100401,100395,"A08AA06","Etilamfétamine",5
402,100402,100395,"A08AA07","Cathine",5
403,100403,100395,"A08AA08","Clobenzorex",5
404,100404,100395,"A08AA09","Méfénorex",5
405,100405,100395,"A08AA10","Sibutramine",5
406,100406,100395,"A08AA56","Ephédrine en association",5
407,100407,100394,"A08AB","Medicaments contre l'obesite a action peripherique",4
408,100408,100407,"A08AB01","Orlistat",5
409,100409,100001,"A09","Medicaments de la digestion, enzymes incluses",2
410,100410,100409,"A09A","Medicaments de la digestion, enzymes incluses",3
411,100411,100410,"A09AA","Preparations enzymatiques",4
412,100412,100411,"A09AA01","Diastase",5
413,100413,100411,"A09AA02","Multienzymes (lipase, protéase...)",5
414,100414,100411,"A09AA03","Pepsine",5
415,100415,100410,"A09AB","Preparations acides",4
416,100416,100415,"A09AB01","Glutamique acide chlorhydrate",5
417,100417,100415,"A09AB02","Bétaïne chlorhydrate",5
418,100418,100415,"A09AB03","Chlorhydrique acide",5
419,100419,100415,"A09AB04","Citrique acide",5
420,100420,100410,"A09AC","Enzymes et preparations acides en association",4
421,100421,100420,"A09AC01","Pepsine et préparations acides",5
422,100422,100001,"A10","Medicaments du diabete",2
423,100423,100422,"A10A","Insulines et analogues",3
424,100424,100423,"A10AB","Insulines et analogues d'action rapide",4
425,100425,100424,"A10AB01","Insuline humaine",5
426,100426,100424,"A10AB02","Insuline bovine",5
427,100427,100424,"A10AB03","Insuline porcine",5
428,100428,100424,"A10AB04","Insuline lispro",5
429,100429,100424,"A10AB30","Associations",5
430,100430,100423,"A10AC","Insuline et analogues d'action intermediaire",4
431,100431,100430,"A10AC01","Insuline humaine",5
432,100432,100430,"A10AC02","Insuline bovine",5
433,100433,100430,"A10AC03","Insuline porcine",5
434,100434,100430,"A10AC30","Associations",5
435,100435,100423,"A10AD","Insulines et analogues d'action intermediaire et a debut",4
436,100436,100435,"A10AD01","Insuline humaine",5
437,100437,100435,"A10AD02","Insuline bovine",5
438,100438,100435,"A10AD03","Insuline porcine",5
439,100439,100435,"A10AD30","Associations",5
440,100440,100423,"A10AE","Insulines et analogues d'action lente",4
441,100441,100440,"A10AE01","Insuline humaine",5
442,100442,100440,"A10AE02","Insuline bovine",5
443,100443,100440,"A10AE03","Insuline porcine",5
444,100444,100440,"A10AE30","Associations",5
445,100445,100422,"A10B","Antidiabetiques oraux",3
446,100446,100445,"A10BA","Biguanides",4
447,100447,100446,"A10BA01","Phenformine",5
448,100448,100446,"A10BA02","Metformine",5
449,100449,100446,"A10BA03","Buformine",5
450,100450,100445,"A10BB","Sulfamides, derives de l'uree",4
451,100451,100450,"A10BB01","Glibenclamide",5
452,100452,100450,"A10BB02","Chlorpropamide",5
453,100453,100450,"A10BB03","Tolbutamide",5
454,100454,100450,"A10BB04","Glibornuride",5
455,100455,100450,"A10BB05","Tolazamide",5
456,100456,100450,"A10BB06","Carbutamide",5
457,100457,100450,"A10BB07","Glipizide",5
458,100458,100450,"A10BB08","Gliquidone",5
459,100459,100450,"A10BB09","Gliclazide",5
460,100460,100450,"A10BB10","Métahexamide",5
461,100461,100450,"A10BB11","Glisoxépide",5
462,100462,100450,"A10BB12","Glimépiride",5
463,100463,100450,"A10BB31","Acétohexamide",5
464,100464,100445,"A10BC","Sulfamides (heterocycles)",4
465,100465,100464,"A10BC01","Glymidine",5
466,100466,100445,"A10BD","Biguanides et sulfamides en association",4
467,100467,100466,"A10BD01","Phenformine et sulfamides",5
468,100468,100466,"A10BD02","Metformine et sulfamides",5
469,100469,100445,"A10BF","Inhibiteurs de l'alpha glucosidase",4
470,100470,100469,"A10BF01","Acarbose",5
471,100471,100469,"A10BF02","Miglitol",5
472,100472,100445,"A10BG","Thiazolinediones",4
473,100473,100472,"A10BG01","Troglitazone",5
474,100474,100445,"A10BX","Autres antidiabetiques oraux",4
475,100475,100474,"A10BX01","Guar gomme",5
476,100476,100422,"A10X","Autres medicaments du diabete",3
477,100477,100476,"A10XA","Inhibiteurs de l'aldose reductase",4
478,100478,100477,"A10XA01","Tolrestat",5
479,100479,100001,"A11","Vitamines",2
480,100480,100479,"A11A","Polyvitamines en association",3
481,100481,100480,"A11AA","Polyvitamines avec elements mineraux",4
482,100482,100481,"A11AA01","Polyvitamines et fer",5
483,100483,100481,"A11AA02","Polyvitamines et calcium",5
484,100484,100481,"A11AA03","Polyvitamines et autres éléments minéraux, associations",5
485,100485,100481,"A11AA04","Polyvitamines et oligo-éléments",5
486,100486,100480,"A11AB","Polyvitamines, autres associations",4
487,100487,100479,"A11B","Polyvitamines non associees",3
488,100488,100487,"A11BA","Polyvitamines non associees",4
489,100489,100479,"A11C","Vitamines a et d, associations des deux incluses",3
490,100490,100489,"A11CA","Vitamine a non associee",4
491,100491,100490,"A11CA01","Rétinol (vit a)",5
492,100492,100489,"A11CB","Vitamines a et d en association",4
493,100493,100489,"A11CC","Vitamine d et analogues",4
494,100494,100493,"A11CC01","Ergocalciférol",5
495,100495,100493,"A11CC02","Dihydrotachystérol",5
496,100496,100493,"A11CC03","Alfacalcidol",5
497,100497,100493,"A11CC04","Calcitriol",5
498,100498,100493,"A11CC05","Cholécalciférol",5
499,100499,100493,"A11CC06","Calcifédiol",5
500,100500,100493,"A11CC20","Associations",5
501,100501,100479,"A11D","Vitamine b1 non associee et en association avec vitamines b6 et b12",3
502,100502,100501,"A11DA","Vitamine b1, non associee",4
503,100503,100502,"A11DA01","Thiamine (vit b1)",5
504,100504,100502,"A11DA02","Sulbutiamine",5
505,100505,100501,"A11DB","Vitamine b1 en association a la vitamine b6 et,ou a la",4
506,100506,100479,"A11E","Complexe vitaminique b, associations incluses",3
507,100507,100506,"A11EA","Complexe vitaminique b non associe",4
508,100508,100506,"A11EB","Complexe vitaminique b avec vitamine c",4
509,100509,100506,"A11EC","Complexe vitaminique b avec mineraux",4
