"oldid","name"
126,"HYPERLIPIDEMIE"
127,"HYPERPHOSPHOREMIE"
128,"HYPERURICEMIE"
129,"HYPOCALCEMIE"
130,"HYPOKALIEMIE"
131,"HYPONATREMIE"
132,"HYPOPHOSPHOREMIE"
133,"HYPOPROTIDEMIE"
134,"MALADIES METABOLIQUES RARES"
135,"TROUBLE DE L'APPETIT"
136,"ACCIDENT VASCULAIRE CEREBRAL"
137,"ALGIE VASCULAIRE DE LA FACE"
138,"ASTHENIE"
139,"AUTRE PATHOLOGIE MUSCULAIRE"
140,"AUTRE PATHOLOGIE NEUROLOGIQUE"
141,"CONTRACTURE MUSCULAIRE"
142,"DOULEUR"
143,"EPILEPSIE"
144,"HYPERSOMNIE"
145,"MIGRAINES (CEPHALEES)"
146,"MYASTHENIE"
147,"PARKINSON"
148,"SCLEROSE EN PLAQUE"
149,"TROUBLES DU SOMMEIL"
150,"VERTIGES"
151,"AUTRE PATHOLOGIE OCULO-PALPEBRALE"
152,"CATARACTE"
153,"CONJONCTIVITE AUTRE"
154,"GLAUCOME"
155,"HYPERTONIE OCULAIRE"
156,"HYPOLACRYMIE"
157,"LENTILLES DE CONTACT"
158,"UVEITES"
159,"APHTES"
160,"AUTRE PATHOLOGIE BUCCO-DENTAIRE"
161,"AUTRE PATHOLOGIE DE L'OREILLE"
162,"AUTRE PATHOLOGIE O.R.L."
163,"HYGIENE BUCCO-DENTAIRE"
164,"HYPOSIALIE"
165,"OTITE"
166,"PARODONTOPATHIES"
167,"RHINITE NON ALLERGIQUE ET RHINOPHARYNGITE"
168,"TOUX"
169,"ASTHME"
170,"AUTRE PATHOLOGIE BRONCHO-PULMONAIRE"
171,"BRONCHOSPASME"
172,"ENCOMBREMENT TRACHEO-BRONCHIQUE"
173,"HYPOXIE"
174,"MUCOVISCIDOSE"
175,"ANXIETE"
176,"AUTRES TROUBLES PSYCHIQUES"
177,"DEPRESSION"
178,"ETAT D'AGITATION"
179,"NERVOSITE"
180,"PSYCHOSE"
181,"PSYCHOSE MANIACO-DEPRESSIVE"
182,"TROUBLE OBSESSIONNEL COMPULSIF"
183,"ALGODYSTROPHIE"
184,"ARTHROSE"
185,"AUTRE PATHOLOGIE OSTEO-ARTICULAIRE"
186,"CONNECTIVITE AUTRE"
187,"DYSTROPHIES OSSEUSES"
188,"GOUTTE"
189,"LOMBALGIE/DORSALGIE"
190,"LUPUS ET EQUIVALENT"
191,"OSTEOPOROSE"
192,"POLYARTHRITE RHUMATOIDE"
193,"RHUMATISME INFLAMMATOIRE AUTRE"
194,"SCIATIQUE"
195,"ALCOOLISME"
196,"TABAGISME"
197,"TRAITEMENT DE SUBSTITUTION"
198,"TRAITEMENT DES INTOXICATIONS"
199,"TRANSPLANTATION"
200,"AUTRE PATHOLOGIE RENALE OU UROLOGIQUE"
201,"DOULEURS URINAIRES"
202,"INSUFFISANCE RENALE"
203,"LITHIASE URINAIRE"
204,"NEPHROPATHIE"
205,"SYNDROME NEPHROTIQUE"
206,"TROUBLE VESICAL"
207,
208,"A DEFINIR"
209,"SINUSITE"
210,"TROUBLE PANIQUE"
211,"INTERRUPTION GROSSESSE"
212,"CORONAROGRAPHIE"
213,"ECZEMA"
214,"PROPHYLAXIE INFECTION"
215,"PROPHYLAXIE THROMBOSE"
216,"GRIPPE ET SYNDROME GRIPPAL"
217,"INDUCTION DE L'OVULATION"
218,"NEVRALGIE AUTRE"
219,"MALADIE PERIODIQUE"
220,"PROPHYLAXIE CARENCE"
221,"OSTEITE"
222,"THROMBOCYTHEMIE"
223,"SURDITE"
224,"METRORRHAGIE/MENORRHAGIE"
225,"PREMEDICATION"
226,"MALADIE DE BEHCET"
227,"MALADIE DE WILSON"
228,"COLIQUE NEPHRETIQUE"
229,"PROPHYLAXIE ULCERE DIGESTIF"
230,"DOULEUR POST-TRAUMATIQUE"
231,"PATHOLOGIE FOETALE CARDIAQUE"
232,"SYNDROME DE GOUGEROT SJOGREN"
233,"GASTROENTERITE"
234,"TOXOPLASMOSE"
235,"DOULEURS PELVIENNES"
236,"SALPINGITE"
237,"CHOLESTASE GRAVIDIQUE"
238,"AUTRE PATHOLOGIE OBSTETRICALE"
239,"PROPHYLAXIE ECLAMPSIE"
240,"SYNDROME MENSTRUEL"
241,"ZONA"
242,"CONDYLOME"
243,"DOULEUR POST-OPERATOIRE"
244,"HIRSUTISME"
245,"NARCOLEPSIE"
246,"SARCOIDOSE"
247,"PALUDISME"
248,"GROSSESSE EXTRA-UTERINE"
249,"ANESTHESIE LOCO-REGIONALE"
250,"PERICARDITE"
251,"GALE"
252,"PEMPHIGUS"
253,"CIRRHOSE BILIAIRE PRIMITIVE"
254,"DOULEUR DENTAIRE"
255,"MENACE DE FAUSSE COUCHE"
256,"PREVENTION FAUSSE COUCHE"
257,"SUSPICION DE FAUSSE COUCHE"
258,"LEUCEMIE"
259,"LYMPHOME"
260,"DREPANOCYTOSE"
261,"DIABETE GESTATIONNEL"
